SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,400 Grafton Ave,San Francisco,CA,94112,908000,4,2.0,San Francisco,1460,,1913,2,622,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/400-Grafton-Ave-94112/home/1891229,San Francisco MLS,421602178,N,Y,37.7202168,-122.4573494
MLS Listing,,Multi-Family (2-4 Unit),431 Connecticut St,San Francisco,CA,94107,1799000,4,,San Francisco,2472,2495,1912,2,728,,Active,,,http://www.redfin.com/CA/San-Francisco/431-Connecticut-St-94107/home/886583,San Francisco MLS,421601380,N,Y,37.760791,-122.3970714
MLS Listing,,Single Family Residential,26 Eagle St,San Francisco,CA,94114,2595000,4,3.0,San Francisco,2350,2949,1948,2,1104,,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/26-Eagle-St-94114/home/1661517,San Francisco MLS,421602435,N,Y,37.7584506,-122.4426764
MLS Listing,,Single Family Residential,583 19th Ave,San Francisco,CA,94121,2800000,5,3.5,San Francisco,3047,2060,1914,2,919,,Active,,,http://www.redfin.com/CA/San-Francisco/583-19th-Ave-94121/home/1547856,San Francisco MLS,421602240,N,Y,37.7769385,-122.4782857
MLS Listing,,Multi-Family (2-4 Unit),926 Santiago St,San Francisco,CA,94116,1288000,4,,San Francisco,1790,2495,1944,2,720,,Active,,,http://www.redfin.com/CA/San-Francisco/926-Santiago-St-94116/home/657783,San Francisco MLS,421601409,N,Y,37.7450928,-122.4774442
MLS Listing,,Single Family Residential,431 Silver Ave,San Francisco,CA,94112,998000,2,1.5,San Francisco,1563,2748,1914,2,639,,Active,October-12-2021 02:00 PM,October-12-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/431-Silver-Ave-94112/home/1835729,San Francisco MLS,421592933,N,Y,37.7287487,-122.4275152
MLS Listing,,Condo/Co-op,38 Steiner St #303,San Francisco,CA,94117,1399000,3,2.5,San Francisco,,5127,1900,2,,379,Active,,,http://www.redfin.com/CA/San-Francisco/38-Steiner-St-94117/unit-303/home/176684656,San Francisco MLS,421599537,N,Y,37.7702163,-122.4316282
MLS Listing,,Single Family Residential,3140 Jackson St,San Francisco,CA,94115,6850000,4,5.5,San Francisco,3720,3192,1915,2,1841,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3140-Jackson-St-94115/home/1700055,San Francisco MLS,421601200,N,Y,37.7911742,-122.4468786
MLS Listing,,Condo/Co-op,240 - A Hartford St,San Francisco,CA,94114,1250000,2,1.0,San Francisco,,2750,1915,2,,350,Active,October-12-2021 12:00 PM,October-12-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/240A-Hartford-St-94114/home/21966322,San Francisco MLS,421589481,N,Y,37.758666,-122.434
MLS Listing,,Single Family Residential,66 Danton St,San Francisco,CA,94112,1099000,3,2.0,San Francisco,1431,,,2,768,,Active,,,http://www.redfin.com/CA/San-Francisco/66-Danton-St-94112/home/1940550,San Francisco MLS,421602077,N,Y,37.731305,-122.4326346
MLS Listing,,Condo/Co-op,1108 Shotwell St,San Francisco,CA,94110,829000,1,1.0,San Francisco,703,2427,1908,2,1179,243,Active,October-10-2021 01:30 PM,October-10-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/1108-Shotwell-St-94110/home/109464863,San Francisco MLS,421601222,N,Y,37.7506392,-122.4151396
MLS Listing,,Single Family Residential,32 Massasoit St,San Francisco,CA,94110,1848000,4,2.0,San Francisco,1708,1746,1951,2,1082,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/32-Massasoit-St-94110/home/1622623,San Francisco MLS,421602453,N,Y,37.7451342,-122.4081233
